央视频道,#genre#
农林卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_NONGLIN
延边卫视,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YANBIAN
三只鸟频道,#genre#
凤凰资讯,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-10000k-1080P-fhzixun5s
凤凰中文,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-10000k-1080P-fhchinese5s
凤凰香港,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-10000k-1080P-fhhongkong5s
数字频道,#genre#
纯享4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-20M-2160P-chunxiang4k
第一剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_DIYIJC-CQ
欢笑剧场4K,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-15M-2160P-jshuanxiaojc
黑莓电影,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-Supermovie
影视剧场,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-1
第一院线,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-2
高分电影,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-14
美食美味,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-17
动物世界,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-19
奥特曼,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-9
熊出没,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-10
汪汪队,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-13
超级飞侠,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-11
小猪佩奇,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=GITV-JS-12
金鹰卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JINYING
炫动卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_XUANDONG
嘉佳卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JIAJIA
优漫卡通,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_YOUMAN
卡酷少儿,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_KAKU
篮球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_LANQIU
老故事,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_LAOGUSHI
发现之旅,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_FAXIANZL
家庭理财,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=G_JIATINGLC
炫舞未来,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-4000k-1080P-xwwl
睛彩篮球,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-miguaoyun1
睛彩竞技,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-miguaoyun2
睛彩青少,http://156.238.251.141:82/关注公众号：小凯影视交流/JSYD.php?id=HD-8000k-1080P-quanminrl
